page,Company Name,Address
10254.0,Bank Simpanan Nasional Tmn Ungku Tun Aminah,"No. 169, Jalan Pahlawan 1,,
, Johor Bahru, Johor"
10254.0,Mak Ngah Nasi Dagang Terengganu,"C-140, Kampung Cenering,,
, Kuala Terengganu, Terengganu"
10254.0,Bank Simpanan Nasional Masai,"No. 11G, Jalan Suria 7,, Bandar Baru Seri Alam,
, Masai, Johor"
10254.0,Bank Simpanan Nasional Labis,"No. 72, Bawah Jalan Segamat,, Tmn. Asia Timur,
, Labis, Johor"
10216.0,SL Smart Mobile Marketing,"Jln Rozhan Pusat Perniagaan Seri Impian,, Tesco Bkt Mertajam,
, Bukit Mertajam, Pulau Pinang"
10216.0,Ezytronic Sdn Bhd,"No 20-1, Jln USJ 1/1C,, REGALIA BUSINESS CENTRE
, Subang Jaya, Selangor"
10216.0,Tigers Global Logistics (M) Sdn Bhd,"2-2-16, Tingkat Mahsuri 5,, Terrace Plus,
, Bayan Lepas, Pulau Pinang"
10216.0,SJ Mobile Enterprise,"No 34, Jln Rozhan,, Tesco Bkt Mertajam,
, Bukit Mertajam, Pulau Pinang"
10216.0,Dynamic Stencil Sdn Bhd,"Ats Laser Stencil Sdn Bhd, Ltg Beringin 1,, Permatang Damar Laut
, Batu Maung, Pulau Pinang"
10216.0,Innerworld Marketing,"No. 25, Jln Sukun 1,, Taman Sukun,
, Bukit Mertajam, Pulau Pinang"
10216.0,Hyper Mobile Sdn Bhd,"Tkt Bukit Minyak 9,, Carrefour Taman Bkt Minyak,
, Simpang Ampat, Pulau Pinang"
10216.0,Jupiter Logistics (M) Sdn Bhd,"Plot 110, Hala Kampung Jawa 2,,
, Bayan Lepas, Pulau Pinang"
10216.0,ST Mobile Solution,"No 2830, Jln Perai Jaya,,
, Perai, Pulau Pinang"
10216.0,Kw Logistics Sdn Bhd,"20B, 3rd Floor,, Jalan Tun Dr Awang,
, Batu Maung, Pulau Pinang"
10216.0,OSRA Exclusive Bangi,"No.3A-57-02,, Jalan Medan Pusat Bandar 8A, Seksyen 9,
, Bandar Baru Bangi, Selangor"
10216.0,Mkl Logistics (Pen) Sdn Bhd,"10, BA, Jalan Sungai Tiram 2,,
, Batu Maung, Pulau Pinang"
10251.0,Restoran & Kafe Santai,"Lot 29573, Jln Tanjung Lumpur,,
, Kuantan, Pahang"
10251.0,The Jesselton Cabin Sdn Bhd,"1st & 2nd Floor, No. 74,, Jalan Gaya,
, Kota Kinabalu, Sabah"
10251.0,Bank Simpanan Nasional Kulim Islamic Banking,"No. 39A, Tingkat Bawah Jalan Sekolah,,
, Kulim, Kedah"
10251.0,Bank Simpanan Nasional Kuala Ketil,"No 21B, Taman Hj. Muslim Mukim Tawar,,
, Kuala Ketil, Kedah"
10251.0,Sam Jewellers,"G, Jln Stesen,,
, Bukit Mertajam, Pulau Pinang"
